,Fruit,Form,RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice
0,0,2.0,1.8541,1.0,0.9,0.2425,1.0,0.4996
1,1,0.0,1.1705,1.0,1.0,0.5401,1.0,0.6323
2,3,4.0,0.8699,0.0,1.0,8.0,0.0,0.4349
3,2,4.0,0.6086,0.0,1.0,8.0,0.0,0.3043
4,4,2.0,3.6162,1.0,0.93,0.3638,1.0,1.4145
5,5,0.0,1.8645,1.0,1.0,0.5401,1.0,1.0071
6,6,0.0,2.2362,1.0,0.65,0.4409,1.0,1.5169
7,4,1.0,7.6611,1.0,1.0,0.1433,1.0,1.0978
8,7,2.0,0.5971,1.0,0.64,0.3307,1.0,0.3085
9,8,3.0,4.2673,1.0,1.0,0.3307,1.0,1.4112
10,9,2.0,6.7483,1.0,0.96,0.3197,1.0,2.2471
11,9,3.0,4.8277,1.0,1.0,0.3307,1.0,1.5965
12,10,2.0,4.1575,1.0,0.95,0.3197,1.0,1.399
13,10,3.0,3.821,1.0,1.0,0.3307,1.0,1.2636
14,11,2.0,0.7523,1.0,0.51,0.3748,1.0,0.5528
15,12,2.0,4.6632,1.0,0.92,0.3417,1.0,1.7321
16,13,0.0,5.2418,1.0,0.65,0.4409,1.0,3.5558
17,14,2.0,1.5811,1.0,0.77,0.463,1.0,0.9507
18,15,1.0,5.0828,1.0,1.0,0.1232,1.0,0.626
19,16,1.0,5.7499,1.0,1.0,0.1653,1.0,0.9507
20,17,1.0,7.3233,1.0,0.96,0.1653,1.0,1.2613
21,18,0.0,2.394,1.0,1.0,0.5401,1.0,1.2931
22,19,0.0,2.0996,1.0,0.65,0.4409,1.0,1.4242
23,20,2.0,1.4444,1.0,0.49,0.463,1.0,1.3647
24,21,4.0,1.1935,0.0,1.0,8.0,0.0,0.5968
25,22,2.0,2.0363,1.0,0.96,0.3307,1.0,0.7014
26,23,1.0,3.9936,1.0,1.0,0.1653,1.0,0.6603
27,25,4.0,1.0509,0.0,1.0,8.0,0.0,0.5255
28,24,4.0,0.7524,0.0,1.0,8.0,0.0,0.3762
29,26,2.0,1.1589,1.0,0.46,0.3748,1.0,0.9442
30,27,2.0,2.6064,1.0,0.76,0.3858,1.0,1.3231
31,28,2.0,1.4698,1.0,0.71,0.3638,1.0,0.7531
32,28,1.0,10.3035,1.0,1.0,0.1253,1.0,1.2906
33,29,2.0,2.3721,1.0,0.91,0.3197,1.0,0.8333
34,30,2.0,1.4624,1.0,0.68,0.4079,1.0,0.8771
35,32,4.0,1.0572,0.0,1.0,8.0,0.0,0.5286
36,31,4.0,0.7338,0.0,1.0,8.0,0.0,0.3669
37,33,2.0,1.3375,1.0,0.62,0.3086,1.0,0.6658
38,33,1.0,7.4854,1.0,1.0,0.1543,1.0,1.1552
39,34,2.0,2.1785,1.0,0.96,0.3417,1.0,0.7755
40,35,0.0,2.2503,1.0,1.0,0.5401,1.0,1.2155
41,36,0.0,2.0102,1.0,0.65,0.4409,1.0,1.3636
42,34,3.0,3.6058,1.0,1.0,0.3307,1.0,1.1924
43,37,2.0,1.8472,1.0,0.9,0.3638,1.0,0.7466
44,38,0.0,2.14,1.0,1.0,0.5401,1.0,1.1559
45,39,0.0,2.092,1.0,0.65,0.4409,1.0,1.4191
46,40,2.0,0.617,1.0,0.51,0.3638,1.0,0.4401
47,42,0.0,1.6509,1.0,1.0,0.5401,1.0,0.8917
48,43,0.0,1.7771,1.0,0.65,0.4409,1.0,1.2055
49,40,1.0,7.0133,1.0,1.0,0.1543,1.0,1.0823
50,44,4.0,1.2243,0.0,1.0,8.0,0.0,0.6122
51,41,4.0,0.7256,0.0,1.0,8.0,0.0,0.3628
52,45,2.0,2.5259,1.0,0.94,0.3638,1.0,0.9775
53,47,1.0,6.3293,1.0,1.0,0.1874,1.0,1.1861
54,46,4.0,1.6988,0.0,1.0,8.0,0.0,0.8494
55,48,2.0,2.4672,1.0,0.56,0.3417,1.0,1.5055
56,49,4.0,3.2788,0.0,1.0,8.0,0.0,1.6394
57,50,2.0,7.7338,1.0,0.96,0.3197,1.0,2.5753
58,50,3.0,6.159,1.0,1.0,0.3307,1.0,2.0368
59,51,2.0,2.9682,1.0,0.94,0.3197,1.0,1.0094
60,51,3.0,3.3421,1.0,1.0,0.3307,1.0,1.1052
61,52,2.0,0.382,1.0,0.52,0.3307,1.0,0.2429
